STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,26/03/2004,,3.13,1438,2334,0,,,,64,69,58,,0,260,360,,,,10.1,16.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,27/03/2004,,2.24,1604,1156,0,,,,64,73,54,,0,260,250,,,,8.1,12.1,,,1,,,,,,,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,28/03/2004,,1.79,1655,1648,0,,,,72,89,55,,0,270,270,,,,8.9,13,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,29/03/2004,,2.24,1505,1418,0,,,,78,94,62,,0,270,270,,,,8.9,14.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,30/03/2004,,2.24,1558,1618,0,,,,67,78,55,,0,260,270,,,,10.1,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,31/03/2004,,2.68,1414,1329,0,,,,65,73,56,,,260,270,,,,10.1,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,01/04/2004,,1.79,1619,1602,0.03,,,,60,65,55,,0,280,260,,,,8.9,13,,,1,,,,,,,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,02/04/2004,,2.24,1652,1403,0,,,,62,70,53,,0,260,160,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,03/04/2004,,2.68,1549,1110,0,,,,63,68,58,,0,270,280,,,,8.9,14.1,,,,,,,,,,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,04/04/2004,,2.46,1606,1445,0,,,,64,71,57,,0,270,260,,,,12.1,15,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,05/04/2004,,2.24,1644,1556,0,,,,64,72,56,,0,270,260,,,,8.9,13,,,1,,,,,,1,,1,,,,
